N,1threads_time_ms,2threads_time_ms,4threads_time_ms,6threads_time_ms,8threads_time_ms,10threads_time_ms
72,0.012409203,0.0301246116,0.0334682284,0.0339016894,0.0386875659,0.0382961472
156,0.025277111,0.0422725782,0.0453499262,0.0471073531,0.0550962336,0.0539155226
1840,0.4825921398,0.4279309101,0.3442056312,0.3633123855,0.2713898825,0.3617237792
3132,0.801477288827898,0.608476094780896,0.550200852908402,0.559952710962324,0.4314839387,0.4419352772
3638,1.06476661956754,0.859964591326973,0.572766922978773,0.679714506186417,0.580009978743394,0.574902837523277
3662,1.02602848968221,0.852064147301478,0.681014739232145,0.696580365070423,0.573929571876816,0.577215417007359
3886,1.08099449521739,0.803358523353876,0.672416458152174,0.765144330911901,0.544175687506892,0.585436128436019
4108,1.14793313893376,0.944961148190476,0.762624907787201,0.889152094136633,0.64801688083377,0.626825974394727
5112,1.42142045234018,1.15169703129346,1.0423094110481,1.04231201239496,0.860266583752821,0.94219752393617
10200,2.97228112388326,2.15118747341115,1.77145135302491,1.74929200421941,1.47251983742967,1.47360241125926
14506,4.3745668704028,3.22042888766946,2.33680853777569,2.58391601713396,2.14445664857881,2.09121249223016
14508,4.16412153711426,2.88192465722543,2.36691983467933,2.45632749802761,2.08723155909472,2.02094830641234
16662,5.19847791259105,3.53191744050991,2.8723764124424,2.76120534702943,2.37144894619048,2.51787693582617
19885,6.22744763760897,4.26852817023097,3.38709171875,3.45836120180305,2.70636324823466,2.65360840947817
25694,8.21869224013158,5.6304776027088,4.26084405550811,4.48103646630728,3.8053644416476,3.63401719300801
25706,8.2106197454844,5.62468769898534,4.38890171328056,4.1892194210084,3.67492994771723,3.49447047372109
114574,40.25621028,25.467375893401,21.9250335745614,21.8412771877729,15.7264428742138,14.5065807478261
136459,50.9873786868687,31.1566834906832,24.7015008719212,24.6186324264706,22.5324742252252,19.2599823115385
159774,62.1197713703704,38.4447833461538,31.4766298742138,29.8972766964286,27.7330067127072,27.0454760216216
159784,61.0563478780488,38.0839020606061,27.7957235888889,31.9131945477707,25.901729253886,23.6765843317536
383730,186.955516851852,143.549853,107.318168680851,100.19424082,79.919654031746,80.8274916451613
383918,187.324036666667,139.633124,110.36456573913,112.457256066667,78.6634545,78.82926515625
584390,258.54502885,203.7095806,152.489314242424,153.868690363636,105.961115166667,111.368834711111
584390,264.489209421053,212.288031958333,148.382020705882,169.6864627,109.890053630435,110.645910934783
1519832,897.926086666667,646.427877625,455.512693272727,443.581498,352.451493733333,340.736506
1520016,853.289740333333,593.799104777778,408.803912461538,429.068593666667,300.992481294118,310.011216352941
