NormDist,cost_one_tree,cost_two_trees
0.055864078084410934,1.620480747e8,2.33753659e8
0.057286098311076485,1.579823832e8,2.380537769e8
0.05981510498638597,1.527234562e8,2.464657008e8
0.06365899353077006,1.550643334e8,2.565655634e8
0.06900920751500683,1.587581998e8,2.801600767e8
0.07603490150293532,1.7366101e8,3.011710542e8
0.0848781507222437,2.013771759e8,3.409929851e8
0.0955893242039216,2.36364037e8,3.702435674e8
0.10819118643592832,2.6095977389999998e8,3.9582616379999995e8
0.12281339466333722,2.613305782e8,3.758696401e8
0.13506974489749451,1.72305066e8,1.551981816e8
0.13743152396312872,1.526624308e8,1.205063851e8
0.14058107078241724,1.378730481e8,9.76406804e7
0.14464616736252567,1.192558234e8,7.7350078e7
0.14949065529311792,1.015618486e8,5.51748414e7
0.15559095054798822,9.50310339e7,3.9691978e7
0.16329898722097969,8.99443623e7,2.74312885e7
0.17461478358227964,8.55897185e7,1.74099311e7
0.19187408193421163,8.047786e7,1.1496041e7
0.22020761450937304,7.76057467e7,8.058984e6
0.2589251834864684,7.54822698e7,5.5956633e6
0.30711472926179534,7.49788868e7,4.7415102e6
0.36425588880279774,7.46243714e7,4.1687622e6
0.4300964015068802,7.43277957e7,3.7763995e6
0.5047091823034665,7.41521784e7,3.3795855e6
0.588439715334987,7.39135577e7,3.1153634e6
0.6818066299162204,7.37349091e7,2.8827406e6
0.7854919344381863,7.36089058e7,2.7118527e6
0.9003218832571095,7.34575474e7,2.5385808e6
1.0272579868183473,7.34299638e7,2.3804608e6
1.167394979265487,7.3382789e7,2.3164842e6
1.3219636625670514,7.32694431e7,2.180697e6
1.492337339654802,7.31930785e7,2.113875e6
1.6800410678127562,7.31485826e7,1.9958583e6
1.8867632936887744,7.31412757e7,1.9591245e6
2.114369642053444,7.31475671e7,1.8910252e6
2.3649187678915924,7.30568924e7,1.8326758e6
2.6406802743742874,7.29827796e7,1.8121846e6
2.944154765346363,7.30152188e7,1.7843293e6
3.278096150950358,7.29503937e7,1.7405969e6
3.645536365544452,7.29006878e7,1.6832796e6
4.049812692339402,7.28313023e7,1.6310115e6
4.494597921870372,7.29307346e7,1.5648903e6
4.983933603326214,7.26800734e7,1.4931907e6
5.522266680126841,7.26254445e7,1.4169813e6
6.114489834881483,7.25637645e7,1.3399845e6
6.765985904689596,7.25302572e7,1.3055443e6
7.4826767662570735,7.25293866e7,1.297003e6
8.27107713202483,7.26498838e7,1.2669006e6
9.138353743947246,7.25427683e7,1.1845387e6
10.092390501212474,7.24764929e7,1.1749313e6
11.14186011257563,7.25050026e7,1.1594683e6
12.296302923614943,7.24882154e7,1.144955e6
13.566213634692192,7.24999934e7,1.1381303e6
14.96313669731756,7.24924969e7,1.1294726e6
16.499771255655265,7.25791984e7,1.1253836e6
18.190086586788826,7.25014318e7,1.1102787e6
20.049449088892008,7.24674604e7,1.1250192e6
22.094761971497473,7.24837706e7,1.1167472e6
24.34461891757949,7.24533313e7,1.1038841e6
26.819473114223378,7.24644625e7,1.099158e6
29.541823188399977,7.24631428e7,1.0954935e6
32.53641773807083,7.23994092e7,1.0920961e6
35.83048031791804,7.24219644e7,1.068909e6
39.45395692495909,7.24209841e7,1.0728156e6
43.43978823386412,7.24071258e7,1.0900363e6
47.82420905680009,7.24223445e7,1.0628725e6
52.64707775013009,7.24220282e7,1.0509177e6
57.952238562546505,7.24255778e7,1.0717339e6
63.78792021868961,7.24458024e7,1.0501463e6
70.2071743617206,7.24090595e7,1.0495823e6
77.26835784067615,7.25035331e7,1.0486893e6
85.03566322702211,7.246692e7,1.0482663e6
93.57970238327509,7.25310987e7,1.0536866e6
102.97814838885233,7.24352367e7,1.0612331e6
113.31644165883314,7.24441921e7,1.0535568e6
124.68856667488791,7.2435277e7,1.0599932e6
137.19790638956022,7.24191362e7,1.0524963e6
150.95818207121064,7.24410334e7,1.0514153e6
166.0944871336632,7.24439004e7,1.0481723e6
182.74442434900456,7.24274787e7,1.0515936e6
201.05935678183093,7.24068147e7,1.0653777e6
221.20578381707136,7.24071463e7,1.0467623e6
243.36685479072935,7.24079621e7,1.0530133e6
267.7440339838217,7.24385987e7,1.0464803e6
294.5589321158213,7.24231588e7,1.0489616e6
324.0553209875448,7.24186464e7,1.0485386e6
356.5013495884186,7.24301648e7,1.0618926e6
392.19198181455255,7.2416565e7,1.0608668e6
431.4516779586954,7.25116713e7,1.0501463e6
474.6373443492517,7.24524451e7,1.0571911e6
522.1415779532609,7.24453973e7,1.0520058e6
574.3962354397285,7.24336954e7,1.0573168e6
631.8763591493397,7.24079483e7,1.0663632e6
695.1044956611897,7.24376934e7,1.0583799e6
764.6554462162269,7.24645491e7,1.0487363e6
841.1614921830761,7.23934122e7,1.0606292e6
925.3181430704803,7.23990164e7,1.0669481e6
1017.8904593410134,7.24458938e7,1.0676337e6
